    ,user,movie
58064,257,12027
58063,439,9297
58061,936,3852
58059,1251,5357
58058,306,6057
58057,1111,9467
58056,82,22897
58055,222,5057
58054,383,1517
58053,3568,8457
58051,628,592
58050,768,10707
58047,1629,7332
58046,243,4257
58045,2077,11577
58044,2735,2257
58043,901,11552
58042,2301,4902
58041,3519,12102
58040,82,40587
58039,306,8647
58038,215,727
58037,75,36297
58036,3232,17142
58035,75,17297
58034,1608,5442
58033,1587,12327
58032,2644,5002
58031,355,43262
58030,4338,12272
58029,985,5597
58028,530,12252
58027,12,8287
58026,3477,11512
58025,964,43807
58024,1531,297
58023,271,7212
58021,698,2422
58019,2427,4787
58018,285,4367
58017,4226,2327
58016,3190,23552
58015,747,10597
58014,3078,3762
58013,1629,342
58012,2231,13377
58011,1559,2257
58010,285,6157
58009,1223,6642
58008,481,2157
58007,1034,5162
58005,873,18142
58004,2567,312
58003,1174,23282
58002,306,17452
58001,2077,1432
58000,271,747
57998,2315,21177
57997,3414,3862
57996,1699,21652
57994,117,10232
57993,89,3902
57992,1006,2297
57990,1153,1032
57989,222,2947
57987,922,15947
57986,2287,4532
57985,852,2627
57984,75,1637
57983,1916,47
57982,2742,11607
57981,1188,3792
57979,1006,44772
57978,810,8502
57977,2693,10487
57976,4380,6757
57975,320,22467
57974,1559,7062
57973,558,2482
57972,264,2137
57970,355,2182
57969,3302,7152
57967,3708,3402
57965,383,10522
57964,1923,712
57963,1069,2762
57962,677,11657
57961,698,3752
57960,761,5077
57959,3113,20852
57958,3113,14102
